metric_name,timestamp,metric_value,check,error,error_code,expected_response,group,method,name,proto,scenario,service,status,subproto,tls_version,url,extra_tags
vus,1668507653,1.000000,,,,,,,,,,,,,,,
vus_max,1668507653,1.000000,,,,,,,,,,,,,,,
vus,1668507654,1.000000,,,,,,,,,,,,,,,
vus_max,1668507654,1.000000,,,,,,,,,,,,,,,
http_reqs,1668507654,1.000000,,,,true,,POST,https://vendorapi.test.codingtown.com/v1/login,HTTP/1.1,default,,200,,tls1.3,https://vendorapi.test.codingtown.com/v1/login,
http_req_duration,1668507654,1899.212511,,,,true,,POST,https://vendorapi.test.codingtown.com/v1/login,HTTP/1.1,default,,200,,tls1.3,https://vendorapi.test.codingtown.com/v1/login,
http_req_blocked,1668507654,208.936866,,,,true,,POST,https://vendorapi.test.codingtown.com/v1/login,HTTP/1.1,default,,200,,tls1.3,https://vendorapi.test.codingtown.com/v1/login,
http_req_connecting,1668507654,13.827830,,,,true,,POST,https://vendorapi.test.codingtown.com/v1/login,HTTP/1.1,default,,200,,tls1.3,https://vendorapi.test.codingtown.com/v1/login,
http_req_tls_handshaking,1668507654,32.426769,,,,true,,POST,https://vendorapi.test.codingtown.com/v1/login,HTTP/1.1,default,,200,,tls1.3,https://vendorapi.test.codingtown.com/v1/login,
http_req_sending,1668507654,0.072934,,,,true,,POST,https://vendorapi.test.codingtown.com/v1/login,HTTP/1.1,default,,200,,tls1.3,https://vendorapi.test.codingtown.com/v1/login,
http_req_waiting,1668507654,1898.927321,,,,true,,POST,https://vendorapi.test.codingtown.com/v1/login,HTTP/1.1,default,,200,,tls1.3,https://vendorapi.test.codingtown.com/v1/login,
http_req_receiving,1668507654,0.212256,,,,true,,POST,https://vendorapi.test.codingtown.com/v1/login,HTTP/1.1,default,,200,,tls1.3,https://vendorapi.test.codingtown.com/v1/login,
http_req_failed,1668507654,0.000000,,,,true,,POST,https://vendorapi.test.codingtown.com/v1/login,HTTP/1.1,default,,200,,tls1.3,https://vendorapi.test.codingtown.com/v1/login,
checks,1668507654,1.000000,Successfully logged in,,,,,,,,default,,,,,,
data_sent,1668507654,610.000000,,,,,,,,,default,,,,,,
data_received,1668507654,5634.000000,,,,,,,,,default,,,,,,
iteration_duration,1668507654,2108.835246,,,,,,,,,default,,,,,,
iterations,1668507654,1.000000,,,,,,,,,default,,,,,,
